time,scramble
20.46,D F L' B2 D2 L2 B' U' R2 F' U2 B D2 B' R2 L2 D2 L2 F' D2 Rw' Uw 
DNF(16.10),L' D F' L' U' B2 L2 B' R' U2 D2 B2 L' B2 R2 F2 U2 B2 R2 Rw' Uw 
17.54,D2 F R L' F2 B' D' L2 B2 D2 B2 D2 L2 D2 F U2 D2 L2 B' U' Rw2 Uw 
16.65,U2 F2 D' F B2 L2 U R B2 U R2 D L2 U' R2 F2 R2 F2 R' Fw Uw' 
DNF(0.78),F' R2 B2 F D2 L2 F D2 U2 B L2 F' L D' L' R' F2 U2 B U2 Rw 
28.17,R' U2 B2 R B2 U2 R' D2 R2 D2 F2 B L2 B D' U' F U2 B2 R D' Fw' Uw' 
16.62,B' F2 L2 B U2 B' R2 D2 R2 U2 D' F' R B2 U2 R D' B' F' U' Rw' Uw2 
14.70,B' L' B D F' D F' U2 B2 R2 U' F2 U' B2 D' F2 U L2 U' R Fw' 
14.88,U2 B L F' B' U' B R2 D B2 L F2 L2 D2 R D2 L' D2 R2 U2 F2 Fw Uw2 
13.17,D' R2 B R2 B U' L' F D R2 D F2 R2 F2 U' F2 D' F2 R2 U' Rw2 Uw2 
DNF(0.18),F L2 B2 L2 D' F2 D2 F2 U2 F2 L2 D L B2 F U' L B D' L2 F Fw' Uw2 
17.12,D F' D R2 B' L D B' U L' U2 F2 B2 R U2 D2 F2 U2 D2 R' U2 Uw' 
18.24,R2 B U F2 U' F2 L2 D L2 D2 L2 F2 D L F U' R' D' U' B' U Rw' Uw2 
16.60,B R' F2 R2 B2 U2 B R' L2 B2 U' F2 U2 B2 D B2 D F2 R2 U' L' Rw2 
19.74,R' D F2 U' L2 D L2 B2 D' B2 D2 F2 L B' R' U' L U' B2 R' Rw 
DNF(0.07),U' L2 D B2 D2 B2 L2 D F2 L2 D' R U2 B R' F2 D' L2 R' B D Rw' Uw' 
21.82,R' L' U2 L' F' D2 F D2 F2 L2 U2 L2 U' B2 D B2 D' L2 U B 
DNF(16.52),U R D F U2 L F D' F' L2 U2 B' U2 R2 B2 R2 D2 B L Fw Uw' 
16.82,B2 U' R2 D2 L2 U L2 U L2 R2 D' B' F' R' F U B' L' U B' Rw' Uw' 
15.44,D2 F U B2 U B2 F2 R2 U' B2 U2 B' R F L2 R D' U2 Rw 
18.07,B2 L2 B2 D2 B' R2 U2 B L' D R' U L2 U R' B U' F' Rw2 
22.63,D F' R2 B2 R2 U2 F U2 B R2 F U2 R2 D R D R' B2 L D Rw Uw 
15.89,R' B2 D F2 U' R2 B2 L2 D B2 D B2 D B L F2 D U2 B U' L' Rw' Uw 
